"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\especialidad_routes.py", "Python", 27, 0, 7, 34
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\especialista_routes.py", "Python", 81, 0, 17, 98
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\officeConfig_routes.py", "Python", 16, 0, 6, 22
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\paciente_routes.py", "Python", 79, 8, 15, 102
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\permission_routes.py", "Python", 11, 0, 5, 16
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\role_routes.py", "Python", 26, 0, 7, 33
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\tratamiento_routes.py", "Python", 27, 0, 7, 34
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\presentation\api\v1\user_routes.py", "Python", 27, 0, 10, 37
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\scripts\init_admin_role.py", "Python", 31, 0, 10, 41
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\scripts\init_admin_user.py", "Python", 47, 0, 11, 58
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\scripts\init_estados_cita.py", "Python", 31, 0, 7, 38
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\scripts\init_office_config.py", "Python", 30, 0, 11, 41
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\scripts\init_permissions.py", "Python", 56, 3, 19, 78
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\shared\dto\mailData_dto.py", "Python", 11, 0, 3, 14
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\shared\dto\token_dto.py", "Python", 8, 0, 3, 11
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\backend-v2\app\shared\utils.py", "Python", 33, 0, 12, 45
"Total", "-", 1973, 44, 560, 2577
